0GPGGA,061344.00,4945.6853,N,03642.2266,E,1,04,12.6,951.6,M,16.1,M,,*53
0GPGGA,061345.00,4945.7258,N,03642.2776,E,1,05,8.3,959.0,M,16.1,M,,*67
0GPGGA,061346.00,4945.7560,N,03642.3328,E,1,05,8.3,958.5,M,16.1,M,,*62
0GPGGA,061347.00,4945.7908,N,03642.3850,E,1,05,9.5,960.0,M,16.1,M,,*6C
0GPGGA,061348.00,4945.8282,N,03642.4336,E,1,05,9.5,965.3,M,16.1,M,,*6F
0GPGGA,061349.00,4945.8639,N,03642.4823,E,1,05,9.5,969.6,M,16.1,M,,*6C
0GPGGA,061350.00,4945.9015,N,03642.5302,E,1,06,7.0,973.2,M,16.1,M,,*63
0GPGGA,061351.00,4945.9399,N,03642.5734,E,1,06,7.0,980.1,M,16.1,M,,*6B
0GPGGA,061352.00,4945.9786,N,03642.6148,E,1,06,7.0,986.5,M,16.1,M,,*6E
0GPGGA,061353.00,4946.0176,N,03642.6559,E,1,05,9.5,993.2,M,16.1,M,,*63
0GPGGA,061354.00,4946.0614,N,03642.6919,E,1,06,7.4,1000.8,M,16.1,M,,*5B
0GPGGA,061355.00,4946.1058,N,03642.7287,E,1,06,7.4,1007.9,M,16.1,M,,*5E
0GPGGA,061356.00,4946.1500,N,03642.7623,E,1,05,9.5,1013.2,M,16.1,M,,*5D
0GPGGA,061357.00,4946.1951,N,03642.7935,E,1,05,9.5,1019.4,M,16.1,M,,*50
0GPGGA,061358.00,4946.2407,N,03642.8259,E,1,05,9.5,1022.4,M,16.1,M,,*54
0GPGGA,061359.00,4946.2849,N,03642.8593,E,1,05,9.4,1019.8,M,16.1,M,,*57
0GPGGA,061400.00,4946.3299,N,03642.8874,E,1,05,9.4,1021.7,M,16.1,M,,*5A
0GPGGA,061401.00,4946.3769,N,03642.9130,E,1,05,6.8,1025.4,M,16.1,M,,*5D
0GPGGA,061402.00,4946.4242,N,03642.9372,E,1,05,6.8,1028.6,M,16.1,M,,*5E
0GPGGA,061403.00,4946.4706,N,03642.9627,E,1,04,13.2,1027.8,M,16.1,M,,*61
0GPGGA,061404.00,4946.5190,N,03642.9844,E,1,04,13.2,1030.6,M,16.1,M,,*6D
